key,en,fi,sv
PLAY,Play,Pelaa,Spela
SETTINGS,Options,Asetukset,Alternativ
QUIT,Quit,Lopeta,Avsluta
MENU,Menu,Valikko,Meny
CONTINUE,Continue,Jatka,Fortsätt
PAUSE,Pause,Tauko,Paus
SCORE,Score:,Pisteet:,Poäng:
LEADERBOARD,Leaderboard,Tulostaulu,Topplista
POINTS_QUALIFY,Your points qualify for the leaderboard!!!,Pisteesi riittävät tulostauluun!!!,Dina poäng räcker till topplistan!!!
ENTER_NAME,Enter your name here…,Kirjoita nimesi tänne…,Skriv ditt namn här...
CONFIRM_NAME,CONFIRM NAME!,VAHVISTA NIMI!,BEKRÄFTA NAMN!
SETTING_POINT,Points Visible:,Pisteet näkyvissä:,Poäng synliga
SETTING_LEADERBOARD,Leaderboard Visible:,Tulostaulu näkyvissä:,Topplista synlig:
GAME_PAUSED, Game paused, Peli keskeytetty,Spelet pausat
GAME_OVER, Game Over, Peli ohi,Game Over
RETRY, Retry, Uusinta,Igen
MUSIC, Music, Musiikki,Musik
SFX, Effects, Effektit,Effekter
